Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,CATCH,16,15,2419200.000000000000000000000000000000,358.382076708138185949792386963964,16,101251,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.358582000000000011841194691442,358582.000000000000000000000000000000,344039.799999999988358467817306518555,337694.000000000000000000000000000000,26.161256003970038364059291779995,969048.619350168271921575069427490234,26.161069819626920462951602530666,969048.642345219617709517478942871094,0.022995051345787942409515380859,0.000186184343117901107689249329,101251
2,STARLINK-30375          _USA 119                 ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.352098999999999995313970657662,352099.000000000000000000000000000000,352993.200000000011641532182693481445,347268.000000000000000000000000000000,58.562884927995554562585311941803,1716001.565814345609396696090698242188,58.562881873104316809985903091729,1716001.559193754335865378379821777344,0.006620591273531317710876464844,0.000003054891237752599408850074,100966
3,STARLINK-30375          _SWAS                    ,CATCH,16,15,2419200.000000000000000000000000000000,358.881097024228267855505691841245,16,101101,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.343963999999999991974419799590,343964.000000000000000000000000000000,337252.599999999976716935634613037109,334943.000000000000000000000000000000,12335.939037189831651630811393260956,2417319.133489730767905712127685546875,12335.939036648991532274521887302399,2417319.152527477126568555831909179688,0.019037746358662843704223632812,0.000000540840119356289505958557,101101
4,STARLINK-30375          _PROBA-1                 ,CATCH,16,15,2419200.000000000000000000000000000000,358.960924904356033948715776205063,16,101086,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.355439999999999978186338012165,355440.000000000000000000000000000000,338360.900000000023283064365386962891,334852.000000000000000000000000000000,4454.511632735153398243710398674011,1960828.036746257217600941658020019531,4454.511631798363850975874811410904,1960828.030167357763275504112243652344,0.006578899454325437545776367188,0.000000936789547267835587263107,101086
5,STARLINK-30375          _SORCE                   ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.339002999999999998781419208171,339003.000000000000000000000000000000,337791.299999999988358467817306518555,335902.000000000000000000000000000000,20.024560826471073937682376708835,44426.198467024958517868071794509888,20.024559044395463303089854889549,44426.196227602922590449452400207520,0.002239422035927418619394302368,0.000001782075610634592521819286,100966
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.354762000000000021771029423689,354762.000000000000000000000000000000,339280.000000000000000000000000000000,335844.000000000000000000000000000000,3925.820205488655119552277028560638,1756482.836928454926237463951110839844,3925.820176488790366420289501547813,1756482.803405127720907330513000488281,0.033523327205330133438110351562,0.000028999864753131987527012825,100966
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,CATCH,16,15,2419200.000000000000000000000000000000,356.620838531255401449016062542796,16,101746,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.349557000000000006600942015211,349557.000000000000000000000000000000,339766.500000000000000000000000000000,336991.000000000000000000000000000000,27.268884376726244767041862360202,1155396.838831920875236392021179199219,27.267855770291980377351137576625,1155396.860214163083583116531372070312,0.021382242208346724510192871094,0.001028606434264389690724783577,101746
8,STARLINK-30375          _HELIOS 2A               ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.345596000000000014296119843493,345596.000000000000000000000000000000,340441.000000000000000000000000000000,333575.000000000000000000000000000000,11.238265283149429407671959779691,1043625.747844457277096807956695556641,11.237631469862801480985581292771,1043625.757331592030823230743408203125,0.009487134753726422786712646484,0.000633813286627926686378486920,100966
9,STARLINK-30375          _REIMEI (INDEX)          ,CATCH,16,15,2419200.000000000000000000000000000000,359.103591251374666626361431553960,16,101041,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.397110000000000018527401834945,397110.000000000000000000000000000000,342379.400000000023283064365386962891,334627.000000000000000000000000000000,4528.224695102357145515270531177521,696948.241518429829739034175872802734,4528.224694972968791262246668338776,696948.239112718729302287101745605469,0.002405711100436747074127197266,0.000000129388354253023862838745,101041
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.346617000000000008430589559794,346617.000000000000000000000000000000,336541.099999999976716935634613037109,333712.000000000000000000000000000000,14.565828032665535829437430948019,306267.005096268607303500175476074219,14.560677079507842179850740649272,306267.044087639718782156705856323242,0.038991371111478656530380249023,0.005150953157693649586690298747,100966
11,STARLINK-30375          _CUTE-1.7+APD II (CO-65) ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.357669999999999987938537060472,357670.000000000000000000000000000000,338242.799999999988358467817306518555,334415.000000000000000000000000000000,4776.368216533954182523302733898163,2417685.045401473529636859893798828125,4776.368215957512802560813724994659,2417685.050588245969265699386596679688,0.005186772439628839492797851562,0.000000576441379962489008903503,100966
