Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,ANCAS,16,15,2419200.000000000000000000000000000000,358.382076708138185949792386963964,16,101251,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.124073000000000002729372283738,124073.000000000000000000000000000000,107305.699999999997089616954326629639,105370.000000000000000000000000000000,26.161069457194194853855151450261,969048.642346159555017948150634765625,26.161069819629169330710283247754,969048.642345219501294195652008056641,0.000000940053723752498626708984,0.000000362434974476855131797493,101248
2,STARLINK-30375          _USA 119                 ,ANCAS,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.127854999999999996429522752805,127855.000000000000000000000000000000,110389.600000000005820766091346740723,108384.000000000000000000000000000000,58.562885490613851402486034203321,1716001.556711200624704360961914062500,58.562881873438350055494083790109,1716001.559193754103034734725952148438,0.002482553478330373764038085938,0.000003617175501346991950413212,100963
3,STARLINK-30375          _SWAS                    ,ANCAS,16,15,2419200.000000000000000000000000000000,358.881097024228267855505691841245,16,101101,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.124357999999999996321164985602,124358.000000000000000000000000000000,106623.600000000005820766091346740723,104606.000000000000000000000000000000,12335.938915007576724747195839881897,2417319.147841631434857845306396484375,12335.939036648991532274521887302399,2417319.152527477126568555831909179688,0.004685845691710710525512695312,0.000121641414807527326047420502,101098
4,STARLINK-30375          _PROBA-1                 ,ANCAS,16,15,2419200.000000000000000000000000000000,358.960924904356033948715776205063,16,101086,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.117307999999999995610622249842,117308.000000000000000000000000000000,106877.500000000000000000000000000000,105617.000000000000000000000000000000,4454.511590007177801453508436679840,1960828.030316944466903805732727050781,4454.511631797973677748814225196838,1960828.030272272881120443344116210938,0.000044671585783362388610839844,0.000041790795876295305788516998,101083
5,STARLINK-30375          _SORCE                   ,ANCAS,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.125127999999999989233501196395,125128.000000000000000000000000000000,107388.800000000002910383045673370361,105357.000000000000000000000000000000,20.024557926847244004875392420217,44426.196220136203919537365436553955,20.024559044372264082767287618481,44426.196217601740499958395957946777,0.000002534463419578969478607178,0.000001117525020077891895198263,100963
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),ANCAS,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.106462000000000001076472244677,106462.000000000000000000000000000000,105242.600000000005820766091346740723,104950.000000000000000000000000000000,3925.820232143365956289926543831825,1756482.803425987018272280693054199219,3925.820176488790366420289501547813,1756482.803405127720907330513000488281,0.000020859297364950180053710938,0.000055654575589869637042284012,100963
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,ANCAS,16,15,2419200.000000000000000000000000000000,356.620838531255401449016062542796,16,101746,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.106176000000000006484590642231,106176.000000000000000000000000000000,105904.800000000002910383045673370361,105814.000000000000000000000000000000,27.267853983310999410605290904641,1155396.860215558204799890518188476562,27.267855770298691453490391722880,1155396.860214161919429898262023925781,0.000001396285369992256164550781,0.000001786987692042885100818239,101743
8,STARLINK-30375          _HELIOS 2A               ,ANCAS,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.118216000000000001635136470668,118216.000000000000000000000000000000,106002.500000000000000000000000000000,104573.000000000000000000000000000000,11.237631053763125876798767421860,1043625.757329417159780859947204589844,11.237631470692655000220838701352,1043625.757331592147238552570343017578,0.000002174987457692623138427734,0.000000416929529123422071279492,100963
9,STARLINK-30375          _REIMEI (INDEX)          ,ANCAS,16,15,2419200.000000000000000000000000000000,359.103591251374666626361431553960,16,101041,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.116819000000000006167510946398,116819.000000000000000000000000000000,107007.500000000000000000000000000000,105824.000000000000000000000000000000,4528.224695207743934588506817817688,696948.239150796551257371902465820312,4528.224694972968791262246668338776,696948.239112718845717608928680419922,0.000038077705539762973785400391,0.000000234775143326260149478912,101038
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),ANCAS,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.125377999999999989455545801320,125378.000000000000000000000000000000,106950.500000000000000000000000000000,104545.000000000000000000000000000000,14.560677007430591345382708823308,306267.044088110094889998435974121094,14.560677079312341675176867283881,306267.044077628990635275840759277344,0.000010481104254722595214843750,0.000000071881750329794158460572,100963
