Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
CALSPHERE 1             _CALSPHERE 2             ,1703,CATCH_Eigen,15,1209600.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,5761,5761,0.035917999999999998539390588803,35918.000000000000000000000000000000,1,35918.000000000000000000000000000000,35918.000000000000000000000000000000,113.293196404791473241857602261007,1206540.310993625549599528312683105469,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,1704,CATCH_Eigen,15,1209600.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,5761,5761,0.035749999999999997057908984743,35750.000000000000000000000000000000,1,35750.000000000000000000000000000000,35750.000000000000000000000000000000,1781.930267836933353464701212942600,954119.020487960544414818286895751953,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,1705,CATCH_Eigen,15,1209600.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,5761,5761,0.034297000000000001096456259120,34297.000000000000000000000000000000,1,34297.000000000000000000000000000000,34297.000000000000000000000000000000,118.585777643337507925025420263410,81124.272323467346723191440105438232,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,1706,CATCH_Eigen,15,1209600.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,5761,5761,0.033239999999999998714361737484,33240.000000000000000000000000000000,1,33240.000000000000000000000000000000,33240.000000000000000000000000000000,118.018188629138094825066218618304,837221.187647952698171138763427734375,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,1707,CATCH_Eigen,15,1209600.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,6121,6121,0.037971999999999998809396828392,37972.000000000000000000000000000000,1,37972.000000000000000000000000000000,37972.000000000000000000000000000000,285.429582935018117950676241889596,258797.838934757630340754985809326172,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LES-5                   ,1708,CATCH_Eigen,15,1209600.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,5761,5761,0.036400000000000001798561299893,36400.000000000000000000000000000000,1,36400.000000000000000000000000000000,36400.000000000000000000000000000000,32324.447859190247982041910290718079,604617.687168825650587677955627441406,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 159              ,1709,CATCH_Eigen,15,1209600.000000000000000000000000000000,3087.556734471434992883587256073952,0.500000000000000000000000000000,16,5866,5866,0.034415000000000001145750161413,34415.000000000000000000000000000000,1,34415.000000000000000000000000000000,34415.000000000000000000000000000000,113.407161527204337403418321628124,278877.445111296954564750194549560547,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 153)      ,1710,CATCH_Eigen,15,1209600.000000000000000000000000000000,3093.314389035855128895491361618042,0.500000000000000000000000000000,16,5866,5866,0.033140000000000002788880237858,33140.000000000000000000000000000000,1,33140.000000000000000000000000000000,33140.000000000000000000000000000000,96.355803242172626710271288175136,828064.450737813371233642101287841797,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 150B             ,1711,CATCH_Eigen,15,1209600.000000000000000000000000000000,2924.244875748736831155838444828987,0.500000000000000000000000000000,16,6196,6196,0.038655000000000001858513343223,38655.000000000000000000000000000000,1,38655.000000000000000000000000000000,38655.000000000000000000000000000000,339.674203175620505135157145559788,138824.943556127866031602025032043457,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 3811 (DSP 2)        ,1712,CATCH_Eigen,15,1209600.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,5761,5761,0.037884000000000001007194327940,37884.000000000000000000000000000000,1,37884.000000000000000000000000000000,37884.000000000000000000000000000000,35360.439890193571045529097318649292,22657.825131057092221453785896301270,0.000000000000000000000000000000,0.000000000000000000000000000000
