Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
CALSPHERE 1             _CALSPHERE 2             ,1,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.020008000000000001478150934986,20008.000000000000000000000000000000,10,15648.500000000000000000000000000000,12257.000000000000000000000000000000,76.901469718695651067719154525548,2379289.916131889447569847106933593750,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,2,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012552999999999999922173365974,12553.000000000000000000000000000000,10,12466.600000000000363797880709171295,12433.000000000000000000000000000000,1781.725710984185752749908715486526,954118.973615251481533050537109375000,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,3,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012633000000000000132005517628,12633.000000000000000000000000000000,10,12527.299999999999272404238581657410,12494.000000000000000000000000000000,118.212309208076021604938432574272,2171895.694716411177068948745727539062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,4,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012711000000000000076383344094,12711.000000000000000000000000000000,10,12596.899999999999636202119290828705,12558.000000000000000000000000000000,117.995522137847274279920384287834,837221.084983510663732886314392089844,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,5,ANCAS,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,12238,0.021485000000000000625055562864,21485.000000000000000000000000000000,10,18350.900000000001455191522836685181,17772.000000000000000000000000000000,284.619158005373208197852363809943,1720458.588177549187093973159790039062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LES-5                   ,6,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015421000000000000679234446466,15421.000000000000000000000000000000,10,15351.500000000000000000000000000000,15314.000000000000000000000000000000,32323.878031161650142166763544082642,604617.668535169563256204128265380859,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 159              ,7,ANCAS,15,2419200.000000000000000000000000000000,3087.556734471434992883587256073952,0.500000000000000000000000000000,16,11746,11743,0.012836999999999999452771071162,12837.000000000000000000000000000000,10,12723.500000000000000000000000000000,12694.000000000000000000000000000000,84.567882909074270969540521036834,2416511.783019393216818571090698242188,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 153)      ,8,ANCAS,15,2419200.000000000000000000000000000000,3093.314389035855128895491361618042,0.500000000000000000000000000000,16,11731,11728,0.012871999999999999761413072008,12872.000000000000000000000000000000,10,12777.399999999999636202119290828705,12747.000000000000000000000000000000,69.864014241682752981432713568211,1611552.371454250300303101539611816406,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 150B             ,9,ANCAS,15,2419200.000000000000000000000000000000,2924.244875748736831155838444828987,0.500000000000000000000000000000,16,12406,12403,0.017148000000000000048183679269,17148.000000000000000000000000000000,10,16696.799999999999272404238581657410,13455.000000000000000000000000000000,339.696230371003991876932559534907,138824.956916229828493669629096984863,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 3811 (DSP 2)        ,10,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015214999999999999358291091767,15215.000000000000000000000000000000,10,15146.799999999999272404238581657410,15110.000000000000000000000000000000,35360.025681353821710217744112014771,22657.810127250166260637342929840088,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _RIGIDSPHERE 2 (LCS 4)   ,11,ANCAS,15,2419200.000000000000000000000000000000,3009.336342704041726392460986971855,0.500000000000000000000000000000,16,12046,12043,0.013194000000000000866196003813,13194.000000000000000000000000000000,10,13107.600000000000363797880709171295,13076.000000000000000000000000000000,152.625447927055574837140738964081,70684.683229445072356611490249633789,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OSCAR 7 (AO-7)          ,12,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012663000000000000644373443492,12663.000000000000000000000000000000,10,12562.299999999999272404238581657410,12530.000000000000000000000000000000,471.573859992817347119853366166353,1285001.565594007493928074836730957031,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _STARLETTE               ,13,ANCAS,15,2419200.000000000000000000000000000000,3125.166718511277395009528845548630,0.500000000000000000000000000000,16,11611,11608,0.020278000000000000885291839836,20278.000000000000000000000000000000,10,14572.500000000000000000000000000000,12582.000000000000000000000000000000,36.755854821851869473903207108378,1343413.332455685827881097793579101562,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LAGEOS 1                ,14,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.013915000000000000285327317329,13915.000000000000000000000000000000,10,13862.299999999999272404238581657410,13812.000000000000000000000000000000,4878.494789066631710738874971866608,175000.445173597865505144000053405762,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 8701 (DSP 10)       ,15,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015244000000000000605293593026,15244.000000000000000000000000000000,10,15165.299999999999272404238581657410,15127.000000000000000000000000000000,35404.658941259927814826369285583496,51461.657650556880980730056762695312,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _PHASE 3B (AO-10)        ,16,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.017718999999999998640198839439,17719.000000000000000000000000000000,10,17594.900000000001455191522836685181,17559.000000000000000000000000000000,3102.426158236271476198453456163406,1554575.002894153352826833724975585938,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _UOSAT 2 (UO-11)         ,17,ANCAS,15,2419200.000000000000000000000000000000,2906.728742765697006689151749014854,0.500000000000000000000000000000,16,12481,12478,0.020344000000000000971667191152,20344.000000000000000000000000000000,10,16779.099999999998544808477163314819,13320.000000000000000000000000000000,369.236207512006217257294338196516,1882863.908860430354252457618713378906,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _AJISAI (EGS)            ,18,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012635000000000000397459842816,12635.000000000000000000000000000000,10,12543.200000000000727595761418342590,12507.000000000000000000000000000000,493.216728886164219147758558392525,1751520.187993236351758241653442382812,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TDRS 3                  ,19,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.014902999999999999580779785902,14903.000000000000000000000000000000,10,14839.299999999999272404238581657410,14795.000000000000000000000000000000,34772.035583218916144687682390213013,2098251.820197023916989564895629882812,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _COSMOS 1989 (ETALON 1)  ,20,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.013827000000000000748401340900,13827.000000000000000000000000000000,10,13785.600000000000363797880709171295,13717.000000000000000000000000000000,18119.442860967916203662753105163574,2071886.827369674108922481536865234375,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _COSMOS 2024 (ETALON 2)  ,21,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.022283000000000000723199278241,22283.000000000000000000000000000000,10,17617.200000000000727595761418342590,13798.000000000000000000000000000000,18118.006608399005926912650465965271,2309811.096726193558424711227416992188,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _FLTSATCOM 8 (USA 46)    ,22,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.014730999999999999303113007443,14731.000000000000000000000000000000,10,14621.200000000000727595761418342590,14566.000000000000000000000000000000,34774.029800183925544843077659606934,1884436.524222261970862746238708496094,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LUSAT (LO-19)           ,23,ANCAS,15,2419200.000000000000000000000000000000,3013.681225401629035332007333636284,0.500000000000000000000000000000,16,12031,12028,0.013107000000000000594635451989,13107.000000000000000000000000000000,10,13043.100000000000363797880709171295,12974.000000000000000000000000000000,177.288220934393422112407279200852,197069.432030101801501587033271789551,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _HST                     ,24,ANCAS,15,2419200.000000000000000000000000000000,2848.910930892243868584046140313148,0.500000000000000000000000000000,16,12736,12733,0.013898999999999999896416191802,13899.000000000000000000000000000000,10,13819.000000000000000000000000000000,13759.000000000000000000000000000000,461.587052902532946063729468733072,1372193.177863629069179296493530273438,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SKYNET 4C               ,25,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.022509000000000001229238932865,22509.000000000000000000000000000000,10,18113.900000000001455191522836685181,14406.000000000000000000000000000000,34784.265454547079571057111024856567,2337185.434255158528685569763183593750,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _USA 65 (DSP 15)         ,26,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.014569999999999999618083279529,14570.000000000000000000000000000000,10,14528.100000000000363797880709171295,14455.000000000000000000000000000000,35293.507360903000517282634973526001,1494621.938074363395571708679199218750,0.000000000000000000000000000000,0.000000000000000000000000000000
