Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
CALSPHERE 1             _CALSPHERE 2             ,1,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,12636,0.022360000000000001402211680102,22360.000000000000000000000000000000,10,17077.000000000000000000000000000000,13830.000000000000000000000000000000,76.917167127388452740888169500977,2379290.112840192392468452453613281250,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _LCS 1                   ,2,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,17888,0.021582000000000000489164264650,21582.000000000000000000000000000000,10,21526.500000000000000000000000000000,21492.000000000000000000000000000000,1781.930267850309519417351111769676,954119.020488302572630345821380615234,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _TEMPSAT 1               ,3,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,19093,0.023287999999999999672928296945,23288.000000000000000000000000000000,10,23210.900000000001455191522836685181,23184.000000000000000000000000000000,118.205487410074013610028487164527,2171895.851487695239484310150146484375,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _CALSPHERE 4A            ,4,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,19125,0.035400000000000000910382880193,35400.000000000000000000000000000000,10,27013.200000000000727595761418342590,23328.000000000000000000000000000000,118.018188627954828007204923778772,837221.187648384831845760345458984375,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _OPS 5712 (P/L 160)      ,5,SBO ANCAS,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,20161,0.024771000000000001350919376364,24771.000000000000000000000000000000,10,24690.500000000000000000000000000000,24661.000000000000000000000000000000,284.601244746846191446820739656687,1720458.601902827620506286621093750000,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _LES-5                   ,6,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,15406,0.021936000000000000637045971530,21936.000000000000000000000000000000,10,21864.299999999999272404238581657410,21833.000000000000000000000000000000,32324.447859314768720651045441627502,604617.687121017486788332462310791016,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _SURCAL 159              ,7,SBO ANCAS,15,2419200.000000000000000000000000000000,3087.556734471434992883587256073952,0.500000000000000000000000000000,16,11746,19543,0.023835999999999999549027407397,23836.000000000000000000000000000000,10,23751.799999999999272404238581657410,23710.000000000000000000000000000000,84.572334252713943669732543639839,2416511.783099845517426729202270507812,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _OPS 5712 (P/L 153)      ,8,SBO ANCAS,15,2419200.000000000000000000000000000000,3093.314389035855128895491361618042,0.500000000000000000000000000000,16,11731,19424,0.036443999999999997230215598165,36444.000000000000000000000000000000,10,27516.500000000000000000000000000000,23648.000000000000000000000000000000,69.876128727402289086967357434332,1611552.149891849374398589134216308594,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _SURCAL 150B             ,9,SBO ANCAS,15,2419200.000000000000000000000000000000,2924.244875748736831155838444828987,0.500000000000000000000000000000,16,12406,20279,0.024772999999999999881650225575,24773.000000000000000000000000000000,10,24700.900000000001455191522836685181,24669.000000000000000000000000000000,339.674203246065019357047276571393,138824.943557942810002714395523071289,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _OPS 3811 (DSP 2)        ,10,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,15218,0.021379999999999999699129560327,21380.000000000000000000000000000000,10,21292.299999999999272404238581657410,21252.000000000000000000000000000000,35360.439890063462371472269296646118,22657.825323012271837797015905380249,0.000000010000000000000000209226,0.000100000000000000004792173602
