Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
STARLINK-30375          _SURCAL 150B             ,72,SBO ANCAS,15,2419200.000000000000000000000000000000,358.382076708138185949792386963964,0.062500000000000000000000000000,16,101251,107603,0.134042999999999995486277271084,134043.000000000000000000000000000000,10,116450.399999999994179233908653259277,114455.000000000000000000000000000000,26.161069822058383493867950164713,969048.642343274550512433052062988281,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _USA 119                 ,73,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,104924,0.124911999999999995258903595641,124912.000000000000000000000000000000,10,115499.100000000005820766091346740723,114401.000000000000000000000000000000,58.562882337104746000022714724764,1716001.556708506308495998382568359375,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _SWAS                    ,74,SBO ANCAS,15,2419200.000000000000000000000000000000,358.881097024228267855505691841245,0.062500000000000000000000000000,16,101101,107493,0.135311999999999987842613791145,135312.000000000000000000000000000000,10,115986.199999999997089616954326629639,113713.000000000000000000000000000000,12335.939036683676022221334278583527,2417319.147842212580144405364990234375,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _PROBA-1                 ,75,SBO ANCAS,15,2419200.000000000000000000000000000000,358.960924904356033948715776205063,0.062500000000000000000000000000,16,101086,107477,0.134256999999999987460697070674,134257.000000000000000000000000000000,10,116805.500000000000000000000000000000,114816.000000000000000000000000000000,4454.511631800725808716379106044769,1960828.030317857861518859863281250000,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _SORCE                   ,76,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107260,0.135200999999999987855048289020,135201.000000000000000000000000000000,10,116469.399999999994179233908653259277,114320.000000000000000000000000000000,20.024559044520874095951512572356,44426.196226924948859959840774536133,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),77,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107707,0.118398000000000003240074875066,118398.000000000000000000000000000000,10,115118.500000000000000000000000000000,114667.000000000000000000000000000000,3925.820176489026835042750462889671,1756482.803429825231432914733886718750,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _JB-3 3 (ZY 2C)          ,78,SBO ANCAS,15,2419200.000000000000000000000000000000,356.620838531255401449016062542796,0.062500000000000000000000000000,16,101746,108192,0.135232999999999992102317492026,135233.000000000000000000000000000000,10,117160.699999999997089616954326629639,115068.000000000000000000000000000000,27.267855770253785152590353391133,1155396.860218933317810297012329101562,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _HELIOS 2A               ,79,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107306,0.134165000000000006474820679614,134165.000000000000000000000000000000,10,115663.399999999994179233908653259277,113527.000000000000000000000000000000,11.237631470455939464159200724680,1043625.757329646032303571701049804688,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _REIMEI (INDEX)          ,80,SBO ANCAS,15,2419200.000000000000000000000000000000,359.103591251374666626361431553960,0.062500000000000000000000000000,16,101041,107455,0.119687000000000001720401598959,119687.000000000000000000000000000000,10,115583.199999999997089616954326629639,115045.000000000000000000000000000000,4528.224694973147052223794162273407,696948.239150772686116397380828857422,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),81,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107412,0.120719999999999993978150314433,120720.000000000000000000000000000000,10,114406.899999999994179233908653259277,113635.000000000000000000000000000000,14.560677079854491111632341926452,306267.044084041554015129804611206055,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _CUTE-1.7+APD II (CO-65) ,82,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107302,0.116730000000000000426325641456,116730.000000000000000000000000000000,10,114584.199999999997089616954326629639,114246.000000000000000000000000000000,4776.368215957525535486638545989990,2417685.050653017591685056686401367188,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _CANX-2                  ,83,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107315,0.135246000000000005103473199597,135246.000000000000000000000000000000,10,116383.899999999994179233908653259277,114237.000000000000000000000000000000,10.501222028683114828595535072964,2138213.005186381284147500991821289062,0.000000010000000000000000209226,0.000100000000000000004792173602
